Python 3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)] on win32
Type "help", "copyright", "credits" or "license()" for more information.

= RESTART: C:\Users\diego\Desktop\endpointsV2.py
(4583, '27-de-diciembre'),
(4584, '29-de-diciembre'),
(4585, '01-de-enero'),
(4586, '03-de-enero'),
(4587, '05-de-enero'),
(4588, '08-de-enero'),
(4589, '10-de-enero'),
(4590, '12-de-enero'),
(4591, '15-de-enero'),
(4592, '17-de-enero'),
(4593, '19-de-enero'),
(4594, '22-de-enero'),
(4595, '24-de-enero'),
(4596, '26-de-enero'),
(4597, '29-de-enero'),
(4598, '31-de-enero'),
(4599, '02-de-febrero'),
(4600, '05-de-febrero'),
(4601, '07-de-febrero'),
(4602, '09-de-febrero'),
(4603, '12-de-febrero'),
(4604, '14-de-febrero'),
(4605, '16-de-febrero'),
(4606, '19-de-febrero'),
(4607, '21-de-febrero'),
(4608, '23-de-febrero'),
(4609, '26-de-febrero'),
(4610, '28-de-febrero'),
(4611, '02-de-marzo'),
(4612, '05-de-marzo'),
(4613, '07-de-marzo'),
(4614, '09-de-marzo'),
(4615, '12-de-marzo'),
(4616, '14-de-marzo'),
(4617, '16-de-marzo'),
(4618, '19-de-marzo'),
(4619, '21-de-marzo'),
(4620, '23-de-marzo'),
(4621, '26-de-marzo'),
(4622, '28-de-marzo'),
(4623, '30-de-marzo'),
(4624, '02-de-abril'),
(4625, '04-de-abril'),
(4626, '06-de-abril'),
(4627, '09-de-abril'),
(4628, '11-de-abril'),
(4629, '13-de-abril'),
(4630, '16-de-abril'),
(4631, '18-de-abril'),
(4632, '20-de-abril'),
(4633, '23-de-abril'),
(4634, '25-de-abril'),
(4635, '27-de-abril'),
(4636, '30-de-abril'),
(4637, '02-de-mayo'),
(4638, '04-de-mayo'),
(4639, '07-de-mayo'),
(4640, '09-de-mayo'),
(4641, '11-de-mayo'),
(4642, '14-de-mayo'),
(4643, '16-de-mayo'),
(4644, '18-de-mayo'),
(4645, '21-de-mayo'),
(4646, '23-de-mayo'),
(4647, '25-de-mayo'),
(4648, '28-de-mayo'),
(4649, '30-de-mayo'),
(4650, '01-de-junio'),
(4651, '04-de-junio'),
(4652, '06-de-junio'),
(4653, '08-de-junio'),
(4654, '11-de-junio'),
(4655, '13-de-junio'),
(4656, '15-de-junio'),
(4657, '18-de-junio'),
(4658, '20-de-junio'),
(4659, '22-de-junio'),
(4660, '25-de-junio'),
(4661, '27-de-junio'),
(4662, '29-de-junio'),
(4663, '02-de-julio'),
(4664, '04-de-julio'),
(4665, '06-de-julio'),
(4666, '09-de-julio'),
(4667, '11-de-julio'),
(4668, '13-de-julio'),
(4669, '16-de-julio'),
(4670, '18-de-julio'),
(4671, '20-de-julio'),
(4672, '23-de-julio'),
(4673, '25-de-julio'),
(4674, '27-de-julio'),
(4675, '30-de-julio'),
(4676, '01-de-agosto'),
(4677, '03-de-agosto'),
(4678, '06-de-agosto'),
(4679, '08-de-agosto'),
(4680, '10-de-agosto'),
(4681, '13-de-agosto'),
(4682, '15-de-agosto'),
(4683, '17-de-agosto'),
(4684, '20-de-agosto'),
(4685, '22-de-agosto'),
(4686, '24-de-agosto'),
(4687, '27-de-agosto'),
(4688, '29-de-agosto'),
(4689, '31-de-agosto'),
(4690, '03-de-septiembre'),
(4691, '05-de-septiembre'),
(4692, '07-de-septiembre'),
(4693, '10-de-septiembre'),
(4694, '12-de-septiembre'),
(4695, '14-de-septiembre'),
(4696, '17-de-septiembre'),
(4697, '19-de-septiembre'),
(4698, '21-de-septiembre'),
(4699, '24-de-septiembre'),
(4700, '26-de-septiembre'),
(4701, '28-de-septiembre'),
(4702, '01-de-octubre'),
(4703, '03-de-octubre'),
(4704, '05-de-octubre'),
(4705, '08-de-octubre'),
(4706, '10-de-octubre'),
(4707, '12-de-octubre'),
(4708, '15-de-octubre'),
(4709, '17-de-octubre'),
(4710, '19-de-octubre'),
(4711, '22-de-octubre'),
(4712, '24-de-octubre'),
(4713, '26-de-octubre'),
(4714, '29-de-octubre'),
(4715, '31-de-octubre'),
(4716, '02-de-noviembre'),
(4717, '05-de-noviembre'),
(4718, '07-de-noviembre'),
(4719, '09-de-noviembre'),
(4720, '12-de-noviembre'),
(4721, '14-de-noviembre'),
(4722, '16-de-noviembre'),
(4723, '19-de-noviembre'),
(4724, '21-de-noviembre'),
(4725, '23-de-noviembre'),
(4726, '26-de-noviembre'),
(4727, '28-de-noviembre'),
(4728, '30-de-noviembre'),
(4729, '03-de-diciembre'),
(4730, '05-de-diciembre'),
(4731, '07-de-diciembre'),
(4732, '10-de-diciembre'),
(4733, '12-de-diciembre'),
(4734, '14-de-diciembre'),
(4735, '17-de-diciembre'),
(4736, '19-de-diciembre'),
(4737, '21-de-diciembre'),
(4738, '24-de-diciembre'),
(4739, '26-de-diciembre'),
(4740, '28-de-diciembre'),
(4741, '31-de-diciembre'),
(4742, '02-de-enero'),
(4743, '04-de-enero'),
(4744, '07-de-enero'),
(4745, '09-de-enero'),
(4746, '11-de-enero'),
(4747, '14-de-enero'),
(4748, '16-de-enero'),
(4749, '18-de-enero'),
(4750, '21-de-enero'),
(4751, '23-de-enero'),
(4752, '25-de-enero'),
(4753, '28-de-enero'),
(4754, '30-de-enero'),
(4755, '01-de-febrero'),
(4756, '04-de-febrero'),
(4757, '06-de-febrero'),
(4758, '08-de-febrero'),
(4759, '11-de-febrero'),
(4760, '13-de-febrero'),
(4761, '15-de-febrero'),
(4762, '18-de-febrero'),
(4763, '20-de-febrero'),
(4764, '22-de-febrero'),
(4765, '25-de-febrero'),
(4766, '27-de-febrero'),
(4767, '01-de-marzo'),
(4768, '04-de-marzo'),
(4769, '06-de-marzo'),
